1 5.11880824969 0.0813637517902
2 6.88662325231 0.154843571901
3 8.23508046497 0.22683503974
4 9.25081264489 0.294307556554
5 10.1385345653 0.360712872124
6 10.7529753124 0.41919462163
9 12.4022560054 0.59260271449
10 12.7391257812 0.641787885144
11 12.9533950062 0.684608198895
12 13.5182808231 0.7464221906
15 14.2648914902 0.88128793942
18 14.4439705759 0.978269127709
20 14.2170237338 1.01550169527
22 15.4558253322 1.15846308661
30 15.843246507 1.38954464008
33 15.4701450881 1.42414229033
36 17.1235780811 1.6477170691
44 17.7821678436 1.89558546131
44 17.7821678436 1.89558546131
45 16.9920392881 1.83229871882
45 16.9920392881 1.83229871882
55 17.4360176732 2.08400271558
60 15.9439970126 1.99299962658
66 16.6105349387 2.18107009069
90 16.6070939314 2.56253022675
99 18.1281972638 2.94078192268
110 20.4412485416 3.50564520343
132 17.8528910747 3.37387928338
165 18.6254636204 3.97096218632
180 20.769699576 4.64424601242
198 23.4764121048 5.53344339909
220 26.7550655933 6.68876639833
330 20.7988070272 6.57716028202
396 21.2209695046 7.50274572002
495 26.6335915288 10.8731182105
660 12.9461114183 6.47305570913
# NTot= 2000  NBlk= 1980 BlkAvg= 30023.6012 BlkMaxSEM= 26.7550656 BlkModSEM= 14.6387615  StIn= 12.8502 NIndSamp= 156 StInAvg= 30025.5172 StInSEM= 18.2218149  BMaxNIS= 72 BModNIS= 242
