1 13.7390939868 0.218383689804
2 18.5091567905 0.416172606706
3 22.2364133123 0.612501325133
4 24.8752728324 0.791387853905
5 27.1770115803 0.966914679803
6 29.1604293036 1.13679189
9 33.4625316559 1.59890160987
10 35.3586738378 1.78134425341
11 35.8772270851 1.89617037112
12 36.92133973 2.03863994555
15 39.3701100393 2.43229352113
18 41.7956956158 2.8307616993
20 44.4412948079 3.17437820056
22 42.8319654595 3.21039154138
30 47.5821354613 4.17322934821
33 49.0386166493 4.51437057842
36 50.0439766755 4.81548390082
44 52.7689815024 5.62519232883
44 52.7689815024 5.62519232883
45 53.6609492247 5.78640896763
45 53.6609492247 5.78640896763
55 47.5745138825 5.68624200675
60 52.202315217 6.52528940212
66 52.2050862338 6.8548636505
90 52.5271569561 8.10511628231
99 57.0048919876 9.24741458964
110 49.9309313579 8.56308408272
132 53.8983314861 10.1858272281
165 54.9229000506 11.7096016351
180 66.9966709251 14.9809110455
198 49.3156068401 11.623800005
220 52.5700304475 13.1425076119
330 74.8645709367 23.6742560211
396 70.6740247264 24.9870410689
495 45.5285013923 18.5869328608
660 71.9941257573 35.9970628786
# NTot= 2000  NBlk= 1980 BlkAvg= 97120.0175 BlkMaxSEM= 74.8645709 BlkModSEM= 52.8593992  StIn= 16.0090 NIndSamp= 125 StInAvg= 97115.0311 StInSEM= 54.7059092  BMaxNIS= 67 BModNIS= 134
