1 0.000111478719067 1.77196065679e-06
2 0.000150192742695 3.37703688737e-06
3 0.000180436265866 4.97011142907e-06
4 0.000201857124011 6.42193061532e-06
5 0.00022054513779 7.84664386878e-06
6 0.000236644773591 9.22537376348e-06
9 0.000271534862072 1.29744375759e-05
10 0.000286903934586 1.44540114117e-05
11 0.000291152101022 1.5387866686e-05
12 0.000299600338935 1.65426613206e-05
15 0.000319281685798 1.97252884233e-05
18 0.000339083536793 2.29656349697e-05
20 0.000360679280033 2.57628057167e-05
22 0.000347508712228 2.60468792017e-05
30 0.000385743186475 3.38319155091e-05
33 0.000397683387265 3.66097232276e-05
36 0.000405631838262 3.90319418354e-05
44 0.000427707721124 4.55937962673e-05
44 0.000427707721124 4.55937962673e-05
45 0.000434892505625 4.6895664927e-05
45 0.000434892505625 4.6895664927e-05
55 0.000385419855284 4.60664837641e-05
60 0.000423084567716 5.28855709645e-05
66 0.000423172892896 5.55653230492e-05
90 0.000425846582299 6.57095542186e-05
99 0.00046179768195 7.49134762408e-05
110 0.000404215025859 6.93223050281e-05
132 0.000436671918398 8.25232357577e-05
165 0.000444796656007 9.48309656933e-05
180 0.000543016671127 0.000121422218956
198 0.000399264452998 9.41075340672e-05
220 0.000425881062633 0.000106470265658
330 0.000606970061847 0.000191940786697
396 0.000571824821218 0.000202170604367
495 0.000368859017821 0.000150586063448
660 0.000581967651606 0.000290983825803
# NTot= 2000  NBlk= 1980 BlkAvg= 0.7877 BlkMaxSEM= 0.0006070 BlkModSEM= 0.0004286  StIn= 15.9736 NIndSamp= 126 StInAvg= 0.7877 StInSEM= 0.0004421  BMaxNIS= 67 BModNIS= 134
